road_segment_id,timestamp,road_health_score,severity_score,priority_score,priority,detection_count,damage_class_counts,avg_confidence,max_severity_score,damage_frame_pct,unique_detections,maintenance_performed,future_road_health,future_priority_score,days_to_next_inspection,days_since_previous_inspection,previous_road_health_score,deterioration_rate,number_of_previous_inspections
ROAD_017,2025-04-12T00:00:00,96,32,23,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7712,77.12,10.6,1,0,91,30,42,32,92,-0.125,3
ROAD_017,2025-05-24T00:00:00,91,32,30,Routine,2,"{""D00"": 0, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.7744,93.87,75.3,2,0,92,30,31,42,96,0.119,4
ROAD_017,2025-06-24T00:00:00,92,33,30,Routine,2,"{""D00"": 0, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.8218,94.32000000000001,39.4,2,0,96,22,33,31,91,-0.0323,5
ROAD_017,2025-07-27T00:00:00,96,31,22,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7152,71.52,72.7,1,0,92,28,59,33,92,-0.1212,6
ROAD_017,2025-09-24T00:00:00,92,29,28,Routine,2,"{""D00"": 0, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.6233,66.67,69.6,2,0,,,,59,96,0.0678,7
ROAD_018,2025-01-09T00:00:00,96,23,18,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6122,61.22,21.5,1,0,96,22,59,0,96,0.0,0
ROAD_018,2025-03-09T00:00:00,96,30,22,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.656,65.60000000000001,18.4,1,0,83,42,40,59,96,0.0,1
ROAD_018,2025-04-18T00:00:00,83,30,42,Medium,4,"{""D00"": 2, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.6946,82.09,14.3,4,0,87,36,79,40,96,0.325,2
ROAD_018,2025-07-06T00:00:00,87,31,36,Routine,3,"{""D00"": 1, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.6872,91.10000000000001,42.3,3,0,77,54,40,79,83,-0.0506,3
ROAD_018,2025-08-15T00:00:00,77,49,54,Medium,7,"{""D00"": 3, ""D10"": 0, ""D20"": 2, ""D40"": 2}",0.7125,86.79,51.8,7,0,75,57,31,40,87,0.25,4
ROAD_018,2025-09-15T00:00:00,75,54,57,Medium,10,"{""D00"": 0, ""D10"": 3, ""D20"": 4, ""D40"": 3}",0.7631,94.98,36.2,10,0,77,58,90,31,77,0.0645,5
ROAD_018,2025-12-14T00:00:00,77,57,58,Medium,8,"{""D00"": 2, ""D10"": 2, ""D20"": 1, ""D40"": 3}",0.8178,92.95,28.6,8,0,78,47,45,90,75,-0.0222,6
ROAD_018,2026-01-28T00:00:00,78,37,47,Medium,6,"{""D00"": 2, ""D10"": 2, ""D20"": 2, ""D40"": 0}",0.7358,90.73,59.3,6,0,,,,45,77,-0.0222,7
ROAD_019,2025-01-04T00:00:00,92,25,26,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7174,77.86999999999999,68.8,2,0,96,20,39,0,92,0.0,0
ROAD_019,2025-02-12T00:00:00,96,26,20,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7421,74.21,16.8,1,0,91,33,43,39,92,-0.1026,1
ROAD_019,2025-03-27T00:00:00,91,39,33,Routine,2,"{""D00"": 0, ""D10"": 0, ""D20"": 2, ""D40"": 0}",0.7217,73.83999999999999,36.0,2,0,79,44,54,43,96,0.1163,2
ROAD_019,2025-05-20T00:00:00,79,32,44,Medium,5,"{""D00"": 3, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7541,88.48,73.0,5,0,88,36,81,54,91,0.2222,3
ROAD_019,2025-08-09T00:00:00,88,32,36,Routine,3,"{""D00"": 2, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.8425,94.89,37.8,3,0,77,55,50,81,79,-0.1111,4
ROAD_019,2025-09-28T00:00:00,77,52,55,Medium,5,"{""D00"": 0, ""D10"": 1, ""D20"": 2, ""D40"": 2}",0.7863,86.42999999999999,53.3,5,0,82,52,73,50,88,0.22,5
ROAD_019,2025-12-10T00:00:00,82,49,52,Medium,4,"{""D00"": 0, ""D10"": 2, ""D20"": 0, ""D40"": 2}",0.8176,93.97,23.2,4,0,79,45,43,73,77,-0.0685,6
ROAD_019,2026-01-22T00:00:00,79,34,45,Medium,7,"{""D00"": 3, ""D10"": 3, ""D20"": 1, ""D40"": 0}",0.7153,90.16999999999999,13.5,7,0,,,,43,82,0.0698,7
ROAD_020,2025-01-22T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,25,71,0,100,0.0,0
ROAD_020,2025-04-03T00:00:00,96,37,25,Routine,1,"{""D00"": 0, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.6193,61.92999999999999,66.1,1,0,83,41,44,71,100,0.0563,1
ROAD_020,2025-05-17T00:00:00,83,29,41,Medium,4,"{""D00"": 2, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.7067,80.89,79.2,4,0,78,53,70,44,96,0.2955,2
ROAD_020,2025-07-26T00:00:00,78,49,53,Medium,6,"{""D00"": 1, ""D10"": 2, ""D20"": 1, ""D40"": 2}",0.7821,88.63,28.1,6,0,79,53,81,70,83,0.0714,3
ROAD_020,2025-10-15T00:00:00,79,50,53,Medium,5,"{""D00"": 0, ""D10"": 1, ""D20"": 2, ""D40"": 2}",0.7252,89.83,20.6,5,0,78,51,42,81,78,-0.0123,4
ROAD_020,2025-11-26T00:00:00,78,44,51,Medium,8,"{""D00"": 1, ""D10"": 4, ""D20"": 2, ""D40"": 1}",0.6989,86.41,30.4,8,0,77,50,76,42,79,0.0238,5
ROAD_020,2026-02-10T00:00:00,77,42,50,Medium,8,"{""D00"": 3, ""D10"": 2, ""D20"": 3, ""D40"": 0}",0.7667,88.44,39.3,8,1,100,0,87,76,78,0.0132,6
ROAD_020,2026-05-08T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,,,,87,77,-0.2644,7
ROAD_021,2025-01-27T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,100,0,42,0,100,0.0,0
ROAD_021,2025-03-10T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,92,27,40,42,100,0.0,1
ROAD_021,2025-04-19T00:00:00,92,28,27,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7425,92.97999999999999,64.6,2,0,96,26,34,40,100,0.2,2
ROAD_021,2025-05-23T00:00:00,96,39,26,Routine,1,"{""D00"": 0, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.7357,73.57000000000001,17.0,1,0,83,42,41,34,92,-0.1176,3
ROAD_021,2025-07-03T00:00:00,83,30,42,Medium,4,"{""D00"": 3, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.7166,89.05,37.0,4,0,77,56,84,41,96,0.3171,4
ROAD_021,2025-09-25T00:00:00,77,53,56,Medium,5,"{""D00"": 0, ""D10"": 1, ""D20"": 2, ""D40"": 2}",0.8136,94.26,70.8,5,0,76,50,63,84,83,0.0714,5
ROAD_021,2025-11-27T00:00:00,76,41,50,Medium,8,"{""D00"": 2, ""D10"": 2, ""D20"": 4, ""D40"": 0}",0.7204,93.81,38.2,8,0,82,48,32,63,77,0.0159,6
ROAD_021,2025-12-29T00:00:00,82,42,48,Medium,4,"{""D00"": 1, ""D10"": 2, ""D20"": 0, ""D40"": 1}",0.8545,88.77000000000001,77.5,4,0,,,,32,76,-0.1875,7
ROAD_022,2025-01-16T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,100,0,75,0,100,0.0,0
ROAD_022,2025-04-01T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,20,46,75,100,0.0,1
ROAD_022,2025-05-17T00:00:00,96,27,20,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.8367,83.67,17.5,1,0,95,25,56,46,100,0.087,2
ROAD_022,2025-07-12T00:00:00,95,36,25,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.9325,93.25,19.4,1,0,96,21,61,56,96,0.0179,3
ROAD_022,2025-09-11T00:00:00,96,28,21,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.8624,86.24000000000001,73.7,1,0,87,38,74,61,95,-0.0164,4
ROAD_022,2025-11-24T00:00:00,87,36,38,Routine,3,"{""D00"": 1, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.9033,94.17999999999999,62.4,3,0,83,43,49,74,96,0.1216,5
ROAD_022,2026-01-12T00:00:00,83,33,43,Medium,4,"{""D00"": 1, ""D10"": 3, ""D20"": 0, ""D40"": 0}",0.8338,94.01,59.7,4,0,83,43,73,49,87,0.0816,6
ROAD_022,2026-03-26T00:00:00,83,33,43,Medium,4,"{""D00"": 2, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.8127,94.34,62.0,4,0,,,,73,83,0.0,7
ROAD_023,2025-01-23T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,92,30,89,0,100,0.0,0
ROAD_023,2025-04-22T00:00:00,92,33,30,Routine,2,"{""D00"": 1, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.7723,84.75,51.2,2,0,88,33,77,89,100,0.0899,1
ROAD_023,2025-07-08T00:00:00,88,27,33,Routine,3,"{""D00"": 2, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7596,93.5,59.7,3,0,82,47,39,77,92,0.0519,2
ROAD_023,2025-08-16T00:00:00,82,39,47,Medium,4,"{""D00"": 0, ""D10"": 1, ""D20"": 3, ""D40"": 0}",0.7143,75.82,25.3,4,0,77,54,78,39,88,0.1538,3
ROAD_023,2025-11-02T00:00:00,77,50,54,Medium,7,"{""D00"": 1, ""D10"": 1, ""D20"": 3, ""D40"": 2}",0.715,92.93,68.0,7,0,77,50,86,78,82,0.0641,4
ROAD_023,2026-01-27T00:00:00,77,41,50,Medium,10,"{""D00"": 3, ""D10"": 4, ""D20"": 3, ""D40"": 0}",0.7434,93.30000000000001,51.8,10,0,83,42,64,86,77,0.0,5
ROAD_023,2026-04-01T00:00:00,83,30,42,Medium,4,"{""D00"": 3, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7916,89.05999999999999,44.1,4,0,77,55,51,64,77,-0.0938,6
ROAD_023,2026-05-22T00:00:00,77,52,55,Medium,9,"{""D00"": 1, ""D10"": 2, ""D20"": 4, ""D40"": 2}",0.7679,93.35,48.0,9,0,,,,51,83,0.1176,7
ROAD_024,2025-01-25T00:00:00,92,23,25,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6508,69.55,21.1,2,0,96,23,66,0,92,0.0,0
ROAD_024,2025-04-01T00:00:00,96,33,23,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.8546,85.46000000000001,26.2,1,0,91,33,46,66,92,-0.0606,1
ROAD_024,2025-05-17T00:00:00,91,38,33,Routine,2,"{""D00"": 0, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.8743,91.72,46.5,2,0,82,50,83,46,96,0.1087,2
ROAD_024,2025-08-08T00:00:00,82,45,50,Medium,4,"{""D00"": 0, ""D10"": 1, ""D20"": 2, ""D40"": 1}",0.7796,93.91000000000001,15.4,4,0,78,50,71,83,91,0.1084,3
ROAD_024,2025-10-18T00:00:00,78,42,50,Medium,5,"{""D00"": 3, ""D10"": 0, ""D20"": 1, ""D40"": 1}",0.7434,93.33,52.0,5,0,76,54,66,71,82,0.0563,4
ROAD_024,2025-12-23T00:00:00,76,48,54,Medium,9,"{""D00"": 0, ""D10"": 3, ""D20"": 4, ""D40"": 2}",0.6871,79.25999999999999,66.2,9,0,78,48,80,66,78,0.0303,5
ROAD_024,2026-03-13T00:00:00,78,38,48,Medium,6,"{""D00"": 2, ""D10"": 2, ""D20"": 2, ""D40"": 0}",0.7578,86.35000000000001,43.8,6,0,77,54,53,80,76,-0.025,6
ROAD_024,2026-05-05T00:00:00,77,50,54,Medium,7,"{""D00"": 1, ""D10"": 2, ""D20"": 2, ""D40"": 2}",0.7193,92.03,24.1,7,0,,,,53,78,0.0189,7
ROAD_025,2025-01-17T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,100,0,44,0,100,0.0,0
ROAD_025,2025-03-02T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,23,53,44,100,0.0,1
ROAD_025,2025-04-24T00:00:00,96,33,23,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.8179,81.78999999999999,38.4,1,0,95,22,42,53,100,0.0755,2
ROAD_025,2025-06-05T00:00:00,95,31,22,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.6892,68.92,77.4,1,0,96,21,47,42,96,0.0238,3
ROAD_025,2025-07-22T00:00:00,96,29,21,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.62,62.0,45.4,1,0,82,45,65,47,95,-0.0213,4
ROAD_025,2025-09-25T00:00:00,82,35,45,Medium,4,"{""D00"": 1, ""D10"": 3, ""D20"": 0, ""D40"": 0}",0.8734,89.48,25.4,4,0,83,44,74,65,96,0.2154,5
ROAD_025,2025-12-08T00:00:00,83,34,44,Medium,4,"{""D00"": 2, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7906,90.77,71.1,4,0,87,40,43,74,82,-0.0135,6
ROAD_025,2026-01-20T00:00:00,87,40,40,Medium,3,"{""D00"": 0, ""D10"": 1, ""D20"": 2, ""D40"": 0}",0.9202,93.32000000000001,71.7,3,0,,,,43,83,-0.093,7
ROAD_026,2025-01-09T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,19,78,0,100,0.0,0
ROAD_026,2025-03-28T00:00:00,96,25,19,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.751,75.1,37.6,1,0,79,44,73,78,100,0.0513,1
ROAD_026,2025-06-09T00:00:00,79,31,44,Medium,5,"{""D00"": 3, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7445,93.34,19.2,5,0,91,37,66,73,96,0.2329,2
ROAD_026,2025-08-14T00:00:00,91,46,37,Routine,2,"{""D00"": 0, ""D10"": 0, ""D20"": 1, ""D40"": 1}",0.6735,71.86,19.4,2,0,76,55,87,66,79,-0.1818,3
ROAD_026,2025-11-09T00:00:00,76,51,55,Medium,8,"{""D00"": 1, ""D10"": 1, ""D20"": 4, ""D40"": 2}",0.7246,80.97,50.0,8,0,83,43,84,87,91,0.1724,4
ROAD_026,2026-02-01T00:00:00,83,33,43,Medium,4,"{""D00"": 2, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7604,89.17,37.8,4,1,100,0,36,84,76,-0.0833,5
ROAD_026,2026-03-09T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,100,0,31,36,83,-0.4722,6
ROAD_026,2026-04-09T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,,,,31,100,0.0,7
ROAD_027,2025-01-13T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,100,0,45,0,100,0.0,0
ROAD_027,2025-02-27T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,22,38,45,100,0.0,1
ROAD_027,2025-04-06T00:00:00,96,30,22,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.94,94.0,47.8,1,0,95,23,47,38,100,0.1053,2
ROAD_027,2025-05-23T00:00:00,95,32,23,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7326,73.26,62.4,1,0,92,28,86,47,96,0.0213,3
ROAD_027,2025-08-17T00:00:00,92,30,28,Routine,2,"{""D00"": 1, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.6383,72.67,67.1,2,0,83,42,84,86,95,0.0349,4
ROAD_027,2025-11-09T00:00:00,83,30,42,Medium,4,"{""D00"": 1, ""D10"": 3, ""D20"": 0, ""D40"": 0}",0.659,76.92999999999999,53.8,4,0,83,42,63,84,92,0.1071,5
ROAD_027,2026-01-11T00:00:00,83,31,42,Medium,4,"{""D00"": 3, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.7393,89.14,60.1,4,1,100,0,76,63,83,0.0,6
ROAD_027,2026-03-28T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,,,,76,83,-0.2237,7
ROAD_028,2025-01-15T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,23,32,0,100,0.0,0
ROAD_028,2025-02-16T00:00:00,96,32,23,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7673,76.73,22.7,1,0,92,28,87,32,100,0.125,1
ROAD_028,2025-05-14T00:00:00,92,30,28,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.8085,85.85000000000001,78.7,2,0,83,43,60,87,96,0.046,2
ROAD_028,2025-07-13T00:00:00,83,32,43,Medium,4,"{""D00"": 3, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.7998,89.55,10.6,4,0,80,44,32,60,92,0.15,3
ROAD_028,2025-08-14T00:00:00,80,32,44,Medium,5,"{""D00"": 3, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7214,83.27,49.1,5,0,87,40,64,32,83,0.0938,4
ROAD_028,2025-10-17T00:00:00,87,39,40,Medium,3,"{""D00"": 0, ""D10"": 1, ""D20"": 1, ""D40"": 1}",0.6075,66.01,54.7,3,0,83,47,54,64,80,-0.1094,5
ROAD_028,2025-12-10T00:00:00,83,40,47,Medium,4,"{""D00"": 0, ""D10"": 1, ""D20"": 3, ""D40"": 0}",0.7358,83.84,75.6,4,0,78,49,41,54,87,0.0741,6
ROAD_028,2026-01-20T00:00:00,78,41,49,Medium,5,"{""D00"": 1, ""D10"": 2, ""D20"": 1, ""D40"": 1}",0.7113,80.67,12.8,5,0,,,,41,83,0.122,7
ROAD_029,2025-01-04T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,20,64,0,100,0.0,0
ROAD_029,2025-03-09T00:00:00,96,26,20,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7734,77.34,49.1,1,0,92,27,77,64,100,0.0625,1
ROAD_029,2025-05-25T00:00:00,92,28,27,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.8467,92.34,73.2,2,0,91,32,65,77,96,0.0519,2
ROAD_029,2025-07-29T00:00:00,91,36,32,Routine,2,"{""D00"": 0, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7437,79.34,41.7,2,0,96,24,55,65,92,0.0154,3
ROAD_029,2025-09-22T00:00:00,96,35,24,Routine,1,"{""D00"": 0, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.5526,55.26,78.9,1,0,91,29,43,55,91,-0.0909,4
ROAD_029,2025-11-04T00:00:00,91,31,29,Routine,2,"{""D00"": 0, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.6954,77.83,28.5,2,0,87,35,86,43,96,0.1163,5
ROAD_029,2026-01-29T00:00:00,87,29,35,Routine,3,"{""D00"": 2, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.6539,77.75999999999999,66.6,3,0,91,31,54,86,91,0.0465,6
ROAD_029,2026-03-24T00:00:00,91,35,31,Routine,2,"{""D00"": 1, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.8629,92.21000000000001,54.3,2,0,,,,54,87,-0.0741,7
ROAD_030,2025-01-17T00:00:00,96,26,20,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7519,75.19,25.5,1,0,96,20,48,0,96,0.0,0
ROAD_030,2025-03-06T00:00:00,96,26,20,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7693,76.92999999999999,28.4,1,0,96,22,55,48,96,0.0,1
ROAD_030,2025-04-30T00:00:00,96,31,22,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7081,70.81,50.0,1,0,87,34,65,55,96,0.0,2
ROAD_030,2025-07-04T00:00:00,87,28,34,Routine,3,"{""D00"": 1, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.6869,79.65,79.3,3,0,79,47,58,65,96,0.1385,3
ROAD_030,2025-08-31T00:00:00,79,38,47,Medium,5,"{""D00"": 1, ""D10"": 2, ""D20"": 2, ""D40"": 0}",0.7856,92.96,19.9,5,0,79,43,74,58,87,0.1379,4
ROAD_030,2025-11-13T00:00:00,79,29,43,Medium,5,"{""D00"": 4, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7847,94.06,23.9,5,0,92,26,59,74,79,0.0,5
ROAD_030,2026-01-11T00:00:00,92,26,26,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7538,80.01,26.5,2,0,91,31,62,59,79,-0.2203,6
ROAD_030,2026-03-14T00:00:00,91,35,31,Routine,2,"{""D00"": 0, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7411,84.2,46.5,2,0,,,,62,92,0.0161,7
ROAD_031,2025-01-05T00:00:00,92,26,26,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.6532,67.36,59.4,2,0,92,28,63,0,92,0.0,0
ROAD_031,2025-03-09T00:00:00,92,29,28,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7589,84.08,63.6,2,0,79,42,86,63,92,0.0,1
ROAD_031,2025-06-03T00:00:00,79,28,42,Medium,5,"{""D00"": 4, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.6225,64.24,38.6,5,0,78,48,30,86,92,0.1512,2
ROAD_031,2025-07-03T00:00:00,78,38,48,Medium,5,"{""D00"": 1, ""D10"": 2, ""D20"": 2, ""D40"": 0}",0.8,92.08,61.5,5,0,92,27,65,30,79,0.0333,3
ROAD_031,2025-09-06T00:00:00,92,28,27,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7349,73.54,55.2,2,0,92,25,35,65,78,-0.2154,4
ROAD_031,2025-10-11T00:00:00,92,23,25,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6327,67.94,32.7,2,0,78,47,71,35,92,0.0,5
ROAD_031,2025-12-21T00:00:00,78,37,47,Medium,10,"{""D00"": 5, ""D10"": 3, ""D20"": 2, ""D40"": 0}",0.7919,92.99,34.4,10,0,75,53,39,71,92,0.1972,6
ROAD_031,2026-01-29T00:00:00,75,46,53,Medium,9,"{""D00"": 2, ""D10"": 0, ""D20"": 6, ""D40"": 1}",0.7231,87.81,61.0,9,0,,,,39,78,0.0769,7
ROAD_032,2025-01-07T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,100,0,31,0,100,0.0,0
ROAD_032,2025-02-07T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,92,25,77,31,100,0.0,1
ROAD_032,2025-04-25T00:00:00,92,24,25,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6525,67.01,48.5,2,0,83,43,79,77,100,0.1039,2
ROAD_032,2025-07-13T00:00:00,83,33,43,Medium,4,"{""D00"": 2, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7978,88.35,32.1,4,1,100,0,64,79,92,0.1139,3
ROAD_032,2025-09-15T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,92,26,88,64,83,-0.2656,4
ROAD_032,2025-12-12T00:00:00,92,26,26,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7842,94.34,18.2,2,0,92,28,80,88,100,0.0909,5
ROAD_032,2026-03-02T00:00:00,92,29,28,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7604,90.08,36.2,2,0,92,31,32,80,92,0.0,6
ROAD_032,2026-04-03T00:00:00,92,35,31,Routine,2,"{""D00"": 0, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7419,85.78,16.9,2,0,,,,32,92,0.0,7
ROAD_033,2025-01-13T00:00:00,96,24,19,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6833,68.33,72.2,1,0,92,25,36,0,96,0.0,0
ROAD_033,2025-02-18T00:00:00,92,23,25,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6446,65.91,21.0,2,0,96,18,37,36,96,0.1111,1
ROAD_033,2025-03-27T00:00:00,96,23,18,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6066,60.660000000000004,59.3,1,0,88,32,48,37,92,-0.1081,2
ROAD_033,2025-05-14T00:00:00,88,25,32,Routine,3,"{""D00"": 2, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.6231,68.28999999999999,23.9,3,0,91,42,78,48,96,0.1667,3
ROAD_033,2025-07-31T00:00:00,91,57,42,Medium,2,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 2}",0.8495,87.51,59.7,2,0,79,48,59,78,88,-0.0385,4
ROAD_033,2025-09-28T00:00:00,79,40,48,Medium,5,"{""D00"": 2, ""D10"": 0, ""D20"": 3, ""D40"": 0}",0.8014,87.7,47.3,5,0,78,51,55,59,91,0.2034,5
ROAD_033,2025-11-22T00:00:00,78,44,51,Medium,5,"{""D00"": 0, ""D10"": 2, ""D20"": 2, ""D40"": 1}",0.6838,85.85000000000001,36.5,5,0,83,48,61,55,79,0.0182,6
ROAD_033,2026-01-22T00:00:00,83,43,48,Medium,4,"{""D00"": 1, ""D10"": 1, ""D20"": 1, ""D40"": 1}",0.8025,85.28,52.8,4,0,,,,61,78,-0.082,7
